0 8.5
5 8.96882
10 9.60018
15 10.2595
20 10.8399
25 11.3421
30 11.7533
35 12.0764
40 12.3171
45 12.4831
50 12.5828
55 12.6248
60 12.6173
65 12.568
70 12.484
75 12.3718
80 12.237
85 12.0848
90 11.9197
95 11.7454
100 11.5654
105 11.3825
110 11.199
115 11.0171
120 10.8383
125 10.664
130 10.4953
135 10.333
140 10.1777
145 10.0299
150 9.8898
155 9.7576
160 9.63331
165 9.51689
170 9.40821
175 9.30708
180 9.21325
185 9.12643
190 9.04637
195 8.97241
200 8.90344
205 8.8388
210 8.77863
215 8.72279
220 8.67113
225 8.62353
230 8.57968
235 8.53961
240 8.50277
